,TEMP,DEWP,PRCP,STP,WDSP
2006-01-01,34.9,29.1,0.07,971.0,5.8
2006-01-02,39.1,34.6,0.02,969.0,5.5
2006-01-03,40.0,39.3,1.36,964.5,5.9
2006-01-04,41.5,40.1,0.02,968.1,4.9
2006-01-05,38.6,36.1,0.02,963.5,7.8
2006-01-06,27.7,22.7,0.06,968.0,11.4
2006-01-07,24.9,17.9,0.0,968.1,7.5
2006-01-08,35.0,27.0,0.0,967.6,6.4
2006-01-09,46.9,33.8,0.0,968.7,10.7
2006-01-10,37.4,30.1,0.0,984.4,5.1
2006-01-11,48.7,39.4,0.0,973.1,7.8
2006-01-12,42.7,31.4,0.05,971.3,7.7
2006-01-13,49.0,27.8,0.0,964.9,5.2
2006-01-14,39.5,33.9,0.53,956.1,13.9
2006-01-15,25.9,14.4,0.19,970.6,13.5
2006-01-16,29.4,17.9,0.0,967.8,3.9
2006-01-17,38.9,30.7,0.0,963.5,6.5
2006-01-18,35.8,30.9,0.53,959.1,13.6
2006-01-19,36.0,22.2,0.18,975.9,8.5
2006-01-20,53.3,31.2,0.0,974.8,8.8
2006-01-21,47.6,35.8,0.01,974.2,11.4
2006-01-22,30.4,20.9,0.0,987.9,4.0
2006-01-23,37.7,31.9,0.42,975.1,6.1
2006-01-24,32.8,25.3,0.05,967.9,7.4
2006-01-25,31.2,25.8,0.15,966.3,14.2
2006-01-26,25.6,16.1,0.03,982.7,12.8
2006-01-27,24.9,15.4,0.0,989.5,2.4
2006-01-28,43.0,23.2,0.0,982.0,4.9
2006-01-29,45.9,33.6,0.0,965.9,7.7
2006-01-30,48.2,36.7,0.14,962.3,7.0
2006-01-31,36.4,31.2,0.09,965.2,8.4
2006-02-01,33.8,24.8,0.06,970.7,6.7
2006-02-02,43.3,28.6,0.0,965.6,5.6
2006-02-03,42.7,39.6,0.56,959.2,5.2
2006-02-04,40.6,38.5,0.02,959.2,7.5
2006-02-05,31.2,26.1,0.29,953.5,14.4
2006-02-06,26.8,17.6,0.07,965.3,12.3
2006-02-07,26.4,14.6,0.01,972.1,8.0
2006-02-08,24.5,18.6,0.0,974.1,5.8
2006-02-09,20.7,13.6,0.01,975.2,9.1
2006-02-10,25.9,15.3,0.0,974.6,6.0
2006-02-11,28.5,21.8,0.0,971.9,4.8
2006-02-12,25.2,21.4,0.03,965.4,10.3
2006-02-13,21.8,15.0,0.01,969.4,8.8
2006-02-14,31.5,19.0,0.01,970.3,11.1
2006-02-15,45.8,24.4,0.0,974.7,10.0
2006-02-16,49.4,37.2,0.0,975.1,6.1
2006-02-17,44.2,30.6,0.3,973.0,15.3
2006-02-18,20.8,10.0,0.04,982.2,14.0
2006-02-19,9.6,-2.7,0.01,985.4,7.1
2006-02-20,22.1,6.2,0.0,976.8,6.7
2006-02-21,28.9,14.1,0.0,971.3,8.3
2006-02-22,33.0,20.1,0.0,970.4,3.1
2006-02-23,38.5,24.7,0.0,968.7,7.6
2006-02-24,30.7,14.8,0.02,978.1,11.4
2006-02-25,37.5,14.1,0.0,973.7,11.5
2006-02-26,22.6,11.7,0.0,980.8,12.2
2006-02-27,20.8,11.8,0.03,975.0,6.4
2006-02-28,23.6,15.8,0.07,970.6,7.0
2006-03-01,31.5,12.9,0.02,969.7,3.9
2006-03-02,33.2,25.0,0.09,961.8,7.1
2006-03-03,24.3,18.1,0.08,974.6,12.2
2006-03-04,25.6,17.8,0.0,980.3,10.1
2006-03-05,30.3,18.7,0.0,981.3,7.9
2006-03-06,34.2,17.8,0.0,974.1,3.9
2006-03-07,31.3,15.8,0.0,978.5,8.2
2006-03-08,32.8,18.3,0.0,974.9,3.4
2006-03-09,48.8,40.1,0.07,962.8,7.0
2006-03-10,55.7,41.4,0.04,959.5,12.7
2006-03-11,44.9,40.0,0.09,977.1,3.7
2006-03-12,53.2,51.0,0.6,974.0,4.2
2006-03-13,59.4,53.5,0.61,965.8,8.3
2006-03-14,42.9,32.7,0.34,961.9,14.1
2006-03-15,34.7,20.7,0.0,971.1,18.2
2006-03-16,35.8,19.7,0.0,975.9,7.0
2006-03-17,36.7,16.6,0.0,975.0,9.3
2006-03-18,28.9,11.4,0.0,978.0,11.6
2006-03-19,31.1,14.9,0.0,976.2,9.3
2006-03-20,32.5,19.3,0.0,976.3,7.4
2006-03-21,27.1,11.9,0.0,970.5,8.4
2006-03-22,29.0,17.6,0.0,972.4,12.0
2006-03-23,34.4,23.7,0.0,978.2,3.9
2006-03-24,35.4,28.1,0.0,974.9,3.1
2006-03-25,32.6,27.4,0.02,972.3,6.3
2006-03-26,33.7,30.4,0.06,975.1,6.3
2006-03-27,36.8,23.5,0.01,980.7,5.3
2006-03-28,44.0,30.8,0.0,977.2,4.0
2006-03-29,47.4,36.1,0.0,978.9,2.2
2006-03-30,49.6,33.3,0.0,980.3,3.4
2006-03-31,58.8,40.3,0.0,974.7,7.1
2006-04-01,54.8,47.5,0.12,968.9,12.0
2006-04-02,48.0,41.0,0.0,974.3,6.4
2006-04-03,54.7,47.1,0.14,962.2,8.9
2006-04-04,40.9,25.5,0.12,967.7,13.9
2006-04-05,35.8,27.9,0.02,967.3,13.0
2006-04-06,43.7,29.4,0.01,969.8,2.5
2006-04-07,57.3,42.7,0.21,961.0,7.9
2006-04-08,44.9,35.3,0.41,965.6,12.7
2006-04-09,38.0,24.6,0.0,977.8,7.6
2006-04-10,46.4,25.4,0.0,980.1,2.1
2006-04-11,56.2,27.0,0.0,980.1,2.6
2006-04-12,64.9,35.8,0.0,976.4,8.0
2006-04-13,63.7,48.5,0.22,975.0,5.8
2006-04-14,63.1,49.4,0.0,967.4,6.1
2006-04-15,65.0,49.6,0.02,961.0,8.8
2006-04-16,54.4,36.7,0.0,965.9,4.3
2006-04-17,56.8,31.9,0.0,963.9,8.0
2006-04-18,55.4,34.8,0.0,971.1,6.9
2006-04-19,61.2,36.2,0.0,970.7,6.7
2006-04-20,63.9,35.0,0.0,971.6,3.2
2006-04-21,66.7,47.4,0.0,971.0,4.3
2006-04-22,60.1,57.2,0.72,968.7,5.8
2006-04-23,57.8,47.9,0.57,967.2,7.9
2006-04-24,53.7,44.4,0.31,968.2,6.2
2006-04-25,50.2,42.5,0.11,968.5,6.3
2006-04-26,41.5,29.4,0.26,971.5,3.8
2006-04-27,52.1,30.2,0.0,969.5,5.7
2006-04-28,53.8,25.7,0.0,977.7,7.7
2006-04-29,55.7,26.8,0.0,982.9,5.3
2006-04-30,60.6,27.8,0.0,981.6,8.6
2006-05-01,62.5,28.0,0.0,980.8,8.4
2006-05-02,58.7,37.5,0.0,974.1,3.7
2006-05-03,58.7,51.8,0.03,970.7,5.7
2006-05-04,61.5,48.6,0.0,970.6,4.8
2006-05-05,62.1,45.8,0.0,967.6,4.6
2006-05-06,55.9,39.0,0.0,968.8,8.9
2006-05-07,49.9,28.0,0.0,974.5,4.6
2006-05-08,53.8,37.0,0.0,974.3,5.2
2006-05-09,58.6,37.0,0.0,972.7,7.2
2006-05-10,64.0,40.9,0.0,967.6,4.1
2006-05-11,63.9,54.7,0.04,957.4,8.7
2006-05-12,50.8,43.8,0.7,960.2,8.1
2006-05-13,55.1,42.8,0.0,965.5,4.8
2006-05-14,58.0,46.5,0.0,965.8,6.1
2006-05-15,51.0,47.5,0.38,967.0,4.8
2006-05-16,50.4,47.5,0.26,963.4,6.0
2006-05-17,54.5,50.9,0.31,960.3,6.8
2006-05-18,54.3,47.3,0.42,955.6,7.4
2006-05-19,47.7,42.3,0.14,960.1,6.2
2006-05-20,52.0,42.9,0.14,964.5,6.8
2006-05-21,52.8,36.9,0.0,966.1,11.3
2006-05-22,49.0,35.5,0.04,973.1,8.4
2006-05-23,49.4,32.6,0.0,977.3,6.7
2006-05-24,57.1,36.1,0.0,975.8,4.7
2006-05-25,63.5,51.1,0.01,967.9,4.4
2006-05-26,65.5,60.3,0.24,961.0,6.7
2006-05-27,67.7,60.1,0.25,967.6,6.7
2006-05-28,70.4,57.5,0.0,976.2,1.6
2006-05-29,74.2,59.3,0.0,977.4,1.3
2006-05-30,77.0,61.9,0.0,976.7,2.2
2006-05-31,78.1,63.7,0.0,976.2,3.7
2006-06-01,73.1,65.5,0.26,974.3,4.2
2006-06-02,66.5,64.1,0.33,969.9,4.5
2006-06-03,60.8,53.1,0.42,967.9,9.3
2006-06-04,57.7,53.9,0.51,968.3,6.6
2006-06-05,60.7,49.0,0.21,970.6,7.9
2006-06-06,66.0,48.5,0.01,971.2,5.4
2006-06-07,66.8,52.4,0.0,968.9,4.6
